id,creation_date,ref,marque,statuts,types,contrat,"type ticket",pseudo
496290,"2023-09-16 06:39:42",FAP1630,FEIDER,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Marc SWAP 82"
496299,"2023-09-16 07:44:48",JHS-A020,ELSAY,"La station doit choisir comment s'occuper de la machine.","Réparation sous garantie","JHS CLIM -LECLERC","Demande de réparation en station.","Florian STEFANI"
496303,"2023-09-16 08:01:22",JHS-A020,ELSAY,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","JHS CLIM -LECLERC","Demande de réparation en station.","Florian STEFANI"
496337,"2023-09-16 12:35:47",RACASBT314T,RACING,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
496678,"2023-09-18 07:59:40",FG8500RS,FEIDER,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Jan
496874,"2023-09-18 15:24:43",HDBTD50-AC,HYUNDAI,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
496885,"2023-09-18 16:03:15",H84RMS,HELINGTON,"En attente de la réception de la machine réparée par le distributeur",NULL,"INVIVO Garantie","Prise en charge sous Garantie - Invivo","Florian MERCURI"
497224,"2023-09-19 16:06:01",QT3035B,"COUNTRY SIDE","La station doit faire un diagnostic de la machine.",NULL,Kaufland,"Demande de Garantie",NULL
497399,"2023-09-20 11:58:06",HTDT561RP-A,HYUNDAI,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
497509,"2023-09-20 15:27:22",MLMP675SP51-MS,"MAC ALLISTER","DDG par la station, un admin doit modérer cette demande.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
