id,creation_date,is_admin_closure,is_removed,ref,nom,statuts,types,contrat,"type ticket",pseudo
519227,"2024-01-23 10:13:06",0,0,"Litchi 2500w",YUZU,"La station doit faire un diagnostic de la machine.",NULL,"Clim Litchi","Demande de Garantie","01 - Agent Technique SWAP"
519229,"2024-01-23 10:13:48",0,0,TT6MTP52,TITAN,"La station doit faire un diagnostic de la machine.",NULL,KINGFISHER,"Demande de Garantie","01 - Agent Technique SWAP"
519231,"2024-01-23 10:16:38",0,0,"IRIYA SEC",GOODHOME,"La station doit faire un diagnostic de la machine.",NULL,GOODHOME,"Demande de Garantie","01 - Agent Technique SWAP"
519234,"2024-01-23 10:23:29",0,0,HDBT24-1,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","03 - Agent Vérification SWAP"
519243,"2024-01-23 10:56:53",0,0,"BG ECS2000",BESTGREEN,"La station doit faire un diagnostic de la machine.",NULL,"HG Divers","Demande de Garantie","03 - Agent Vérification SWAP"
519246,"2024-01-23 11:13:54",0,0,ABW-VBS-100P(B),FOXTER,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","NHP FOXTER - LECLERC","Demande de réparation en station.","03 - Agent Vérification SWAP"
519256,"2024-01-23 12:02:45",0,0,600103750,GARDENSTAR,"Une demande de garantie a été effectuée. La demande est en cours de modération par SWAP","Réparation sous garantie","Auchan retail international","Demande de réparation en station.",Roulio
519257,"2024-01-23 12:08:31",0,0,882285,GARDENSTAR,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","Auchan retail international","Demande de réparation en station.",Roulio
519260,"2024-01-23 12:13:09",0,0,600094149,GARDENSTAR,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","Auchan retail international","Demande de réparation en station.",Roulio
519261,"2024-01-23 12:16:17",0,0,600103750,GARDENSTAR,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","Auchan retail international","Demande de réparation en station.",Roulio
