id,creation_date,last_log_time,ref,id_arbo,marque,id_status,status,contrat,type_ticket,ticket_admin,read,distributeur,station,code_barres,date_achat,ticket_total_log_count,ticket_log_count_today
523158,19.02.2024,05.03.2024,TTLMP300SP40,62,TITAN,2,"La station a fait une demande de réparation qui doit être modérée par un admin.",KINGFISHER,"Demande de réparation en station.","05 - Agent Moteur BS/Honda",0,"BRICO DEPOT  ÉVREUX - CARSIX 1713","SARL SOURDON",5059340128832,2022-03-15,10,1
523160,19.02.2024,04.03.2024,MFS-4300-1,58,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Johnwin","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"GALTY - BRICOMARCHE pdv20205","AF MOTOCULTURE - ITINERANT UNIQUEMENT SUR RDV",3999991674727,2023-10-12,9,0
523163,19.02.2024,28.02.2024,HMTB50,77,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"BRIVIEN - BRICOMARCHE pdv20303","SN MOTOCULTURE",3661602029355,2024-02-17,7,0
523170,19.02.2024,25.02.2024,FIE1200W,1227,FEIDER,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"LECLERC ANCENIS","E. LECLERC SERVICES OUEST",3661602046635,2024-01-29,10,0
523171,19.02.2024,04.03.2024,HNHPACK18V,709,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","03 - Agent Vérification SWAP",1,"FUNBRICO INVEST BRICORAMA","SWAP 53",3661602022455,2022-11-21,6,0
523173,19.02.2024,23.02.2024,81967950,62,STERWINS,4,"DDG par la station, un admin doit modérer cette demande.","LEROY MERLIN FR - STERWINS","Demande de réparation en station.",Roulio,0,"LEROY MERLIN NANTES 053","BOURDON MOTOCULTURE Services",3276000429890,2021-08-19,9,0
523176,19.02.2024,19.02.2024,TTLMP875SP51-ES,62,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT ST GEORGES DES COTEAUX N°2424","SARL HORAUD - ETAULIERS",5063022057440,2023-06-27,4,0
523178,19.02.2024,19.02.2024,FPTP123-4,77,"NO NAME",16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,0,"BRICO DEPOT ST GEORGES DES COTEAUX N°2424","FD REPARATION",5059340256146,2022-12-02,4,0
523179,19.02.2024,26.02.2024,MFS-4300-1,58,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Johnwin","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICOMARCHE ALTKIRCH - PDV09784","SWAP 54",3999991674727,2023-03-10,10,0
523182,19.02.2024,05.03.2024,"BG B2800 (MK-L772)",72,BESTGREEN,2,"La station a fait une demande de réparation qui doit être modérée par un admin.","BCM Johnwin","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"BRIVIEN - BRICOMARCHE pdv20303","SN MOTOCULTURE",3505391106586,2024-02-17,12,2
523183,19.02.2024,19.02.2024,TTLMP300SP40,62,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT 1720 BEAUVAIS",GUILBERT,5059340128832,2023-05-08,6,0
523184,19.02.2024,19.02.2024,"BCU-0091B Ecru",703,PERFECTLINE,16,"La station doit faire un diagnostic de la machine.","BCM Better Choice","Demande de Garantie","01 - Agent Technique SWAP",1,"BONYX - BRICOMARCHE PDV07830",NULL,3505391102342,2022-05-23,6,0
523188,19.02.2024,22.02.2024,"BG OM 43 (SLN43F)",58,BESTGREEN,16,"La station doit faire un diagnostic de la machine.","BCM Sunray","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"BRICOMARCHE SAUVETERRE DE GUYENNE PDV08218","FERRER MOTOCULTURE",3505391130758,2023-05-22,10,0
523192,19.02.2024,04.03.2024,HG5500-PL-A1,107,HYUNDAI,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","BUILDER / TCK","Demande de réparation en station.","Anna R",1,FIXIT,FIXIT,3661602015181,2023-11-09,18,0
523195,19.02.2024,26.02.2024,RACPV18V2AC,124,RACING,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"AUCHAN SERVICES","SWAP 13",3661602048998,2022-10-26,9,0
523198,19.02.2024,01.03.2024,HCOMBI31,58,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BUILDER SYSTEMS","SWAP REUSED ",3661602043665,2024-01-16,9,0
523200,19.02.2024,19.02.2024,ABW-VBS-100P(B),104,FOXTER,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","NHP FOXTER - LECLERC","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"LECLERC THOUARS","E. LECLERC SERVICES OUEST",3601029922136,2022-03-22,9,0
523249,19.02.2024,25.02.2024,RACPV18V4IN1,1268,RACING,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"CORTON - BRICOMARCHE pdv01886","SAV LECLERC EST",3661602030009,2024-01-10,10,0
523250,19.02.2024,19.02.2024,"BG HTE750 / CYHT09B-610",63,BESTGREEN,16,"La station doit faire un diagnostic de la machine.","BCM Johnwin","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICORAMA BRESSUIRAIS LE LISA ","SWAP 13",3505391111764,2023-08-17,6,0
523254,19.02.2024,27.02.2024,HTDT561RP-A,1248,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,CDISCOUNT,"SWAP 82",3661602014931,2023-06-08,7,0
523255,19.02.2024,21.02.2024,HTDT4650ES,62,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"NAOUSSA - BRICOMARCHE PDV 20374","SARL HORAUD - ETAULIERS",3661602049377,2023-07-20,5,0
523257,19.02.2024,27.02.2024,HG4000I-A1,108,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"CASTORAMA ANTIBES N°2372","BVM MOTOCULTURE",3661602010162,2023-12-12,7,0
523259,19.02.2024,04.03.2024,HEL2530CAR,39,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"CASTORAMA CHAMBERY n°1469","SN MOTOCULTURE",3661602030085,2023-03-27,7,0
523285,20.02.2024,26.02.2024,TTROP224,217,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT MOUILLERON LE CAPTIF 2373","A-BRICO-VERT - SARL GUILLET JOGUET",5059340349039,2023-04-19,6,0
523299,20.02.2024,21.02.2024,TTI836LWM,189,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de Garantie",Leonel,1,"BRICO DEPOT MONTELIMAR 1727 ",NULL,5059340240459,2023-05-20,4,0
523307,20.02.2024,21.02.2024,81968155,55,STERWINS,16,"La station doit faire un diagnostic de la machine.","LEROY MERLIN FR - STERWINS","Demande de réparation en station.",Sylvie,1,"LEROY MERLIN  METZ HAUCONCOURT (052)","ATELIER VERT",3276000695646,2023-05-27,4,0
523308,20.02.2024,29.02.2024,HMELB20V2A,1270,HYUNDAI,1,"La station doit choisir comment s'occuper de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,SCAPSAV51,"SWAP 13",3661602047397,2022-10-14,18,0
523312,20.02.2024,20.02.2024,X-HMP1318,129,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","SWAP REUSED","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"SWAP REUSED ","SWAP REUSED ",3664142558255,2024-02-14,8,0
523316,20.02.2024,27.02.2024,HFBE725TS,49,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"MR BRICOLAGE NADARO",ARMREPAR,3661602024985,2022-08-19,10,0
523317,20.02.2024,05.03.2024,HTRT65-2C,35,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"JERILUC - BRICOMARCHE pdv20212","SWAP 53",3661602049094,2023-12-20,7,1
523321,20.02.2024,04.03.2024,X-HG2700-1,107,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","SWAP REUSED","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"SWAP REUSED ","SWAP 82",3664142558019,2024-02-14,9,0
523323,20.02.2024,05.03.2024,BGHT2660-17,64,BESTGREEN,14,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","BCM Kingxxel","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"ROSELAND - BRICOMARCHE PDV20234","GILLES MAGNIER",3505390980651,2023-12-20,21,1
523326,20.02.2024,27.02.2024,ECSP51,62,ERBAUER,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.",KINGFISHER,"Demande de réparation en station.",Leonel,0,"BRICO DEPOT 2374 PAU - MAZERES-LEZONS","PEYRETTE MOTOCULTURE",5059340255996,2023-12-11,11,0
523332,20.02.2024,21.02.2024,82248118,35,STERWINS,2,"La station a fait une demande de réparation qui doit être modérée par un admin.","LEROY MERLIN FR - STERWINS","Demande de réparation en station.",Roulio,0,"LEROY MERLIN LENS 012","DEPOT LOC",3276000696391,2023-11-21,5,0
523333,20.02.2024,26.02.2024,TTLMP170SP53,62,TITAN,2,"La station a fait une demande de réparation qui doit être modérée par un admin.",KINGFISHER,"Demande de réparation en station.",Leonel,0,"BRICO DEPOT 2435 MONTCEAU-LES-MINES","PAT MOTOCULTURE",5063022057426,2023-05-23,7,0
523334,20.02.2024,22.02.2024,X-PRINT,1287,FEIDER,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO DEPOT 1711 CHARLEVILLE","SWAP 82",3661602049353,2024-01-26,5,0
523335,20.02.2024,21.02.2024,HY50-A-2,95,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"CASTORAMA CHAMBERY n°1469","DCB MOTOCULTURE ",3661602008695,2022-03-04,7,0
523336,20.02.2024,04.03.2024,FTDT5170ZT,1248,FEIDER,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"TRIDOME SALAISE ORION 38","SN MOTOCULTURE",3661602049926,2024-01-13,6,0
523393,20.02.2024,02.03.2024,FFBE7TS,49,FEIDER,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"MR BRICOLAGE SAINT FLOUR SAS PNB DEVINASTE","ST PAUL MOTOCULTURE",3661602025814,2023-09-21,15,0
523397,20.02.2024,23.02.2024,HDBTD50-AC,1255,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"MARAIN - BRICOMARCHE PDV04944","SWAP 53",3661602020611,2023-06-17,6,0
523402,20.02.2024,01.03.2024,FRD1250,1204,FEIDER,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BUILDER SYSTEMS- MARKETPLACE ","SWAP 54",3661602043931,2023-11-20,11,0
523405,20.02.2024,22.02.2024,"BG OM 43 (SLN43F)",58,BESTGREEN,16,"La station doit faire un diagnostic de la machine.","BCM Sunray","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"JUZOLEC - BRICOMARCHE - PDV08947","BITZ SARL ",3505391130758,2024-02-02,7,0
523406,20.02.2024,27.02.2024,"BG ECS2000-21",23,BESTGREEN,16,"La station doit faire un diagnostic de la machine.","BCM Johnwin","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"DOLVAL - BRICOMARCHE pdv20060","SWAP REUSED ",3505391106593,2024-02-19,8,0
523411,20.02.2024,28.02.2024,CSP2525,39,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Dunsch","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"ANLAUT - BRICOMARCHE pdv04965","SWAP 54",3999991605301,2024-02-16,9,0
523413,20.02.2024,26.02.2024,RAC3100-A,107,RACING,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.",Leonel,1,"BRICO DEPOT ALMERIA","REPARA TALLER",3661602017666,2023-12-22,3,0
523441,21.02.2024,27.02.2024,HFBE8T55-1,49,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP",1,"Bauhaus Liberec","GENTLEMANSTOOLS s.r.o.",3661602024374,2024-02-15,5,0
523453,21.02.2024,22.02.2024,Z-HTRT65,35,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","SWAP REUSED","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"SWAP REUSED ","SWAP 82",3664142554820,2023-02-20,7,0
523459,21.02.2024,05.03.2024,HTDT561ES,62,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,CDISCOUNT,"PAT MOTOCULTURE",3661602019424,2023-03-07,8,1
523460,21.02.2024,28.02.2024,CSP2525,39,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Dunsch","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"DIAMOON PDV 07904","SWAP 54",3999991605301,2022-10-08,8,0
523461,21.02.2024,29.02.2024,CPV4IN1,1268,CARREFOUR,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.",Leonel,1,"CARREFOUR AZABACHE","GRUPO ASTUREMA",3616474461970,2023-01-04,4,0
523462,21.02.2024,27.02.2024,HBT420-A,73,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de Garantie","02 - Agent Administratif SWAP",1,"LOUBEON - BRICOMARCHE pdv05666",NULL,3661602024916,2024-01-27,4,0
523465,21.02.2024,23.02.2024,HTRT65,35,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO DEPOT 1725 CHOLET","SWAP 53",3661602046611,2022-09-15,6,0
523466,21.02.2024,23.02.2024,TTLMP170SP53,62,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT MOUILLERON LE CAPTIF 2373","A-BRICO-VERT - SARL GUILLET JOGUET",5063022057426,2023-05-17,5,0
523467,21.02.2024,01.03.2024,RAC5174F,1248,RACING,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO DEPOT 1772 BOULOGNE SUR MER ","SWAP REUSED ",3661602046291,2022-07-02,8,0
523468,21.02.2024,22.02.2024,HTRT42-1,35,HYUNDAI,38,"Le client doit indiquer s'il accepte ou non le devis SWAP","BUILDER / TCK","Prise en charge Hors Garantie",Nadine,1,"CECLAMA - BRICOMARCHE pdv20256","SWAP 54",3661602028372,2023-06-10,5,0
523469,21.02.2024,22.02.2024,HTRT5850,35,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BUILDER SYSTEMS","SWAP 54",3661602050298,2024-01-17,8,0
523478,21.02.2024,21.02.2024,FRT7550M-1,217,FEIDER,34,"La station établit son devis pour réparer la machine","BUILDER / TCK","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"LEROY MERLIN ROUEN TOURVILLE 064",NULL,3661602023780,2022-06-15,1,0
523479,21.02.2024,28.02.2024,CSP2525,39,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Dunsch","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"RYSBA - BRICOMARCHE pdv02389","SWAP 54",3999991605301,2023-11-29,7,0
523481,21.02.2024,21.02.2024,TTLMP170SP53-SOLO,62,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT CARCASSONNE 1915 ","GAYRARD MOTOCULTURE",5063022057402,2023-09-25,4,0
